ds,state_id,store_id,y
2012-01-01,CA,CA_1,2
2012-01-01,CA,CA_2,0
2012-01-01,CA,CA_3,6
2012-01-01,CA,CA_4,3
2012-01-01,TX,TX_1,3
2012-01-01,TX,TX_2,0
2012-01-01,TX,TX_3,1
2012-01-01,WI,WI_1,0
2012-01-01,WI,WI_2,2
2012-01-01,WI,WI_3,1
2012-01-02,CA,CA_1,23
2012-01-02,CA,CA_2,4
2012-01-02,CA,CA_3,12
2012-01-02,CA,CA_4,3
2012-01-02,TX,TX_1,0
2012-01-02,TX,TX_2,0
2012-01-02,TX,TX_3,1
2012-01-02,WI,WI_1,8
2012-01-02,WI,WI_2,6
2012-01-02,WI,WI_3,13
2012-01-03,CA,CA_1,8
2012-01-03,CA,CA_2,2
2012-01-03,CA,CA_3,3
2012-01-03,CA,CA_4,0
2012-01-03,TX,TX_1,1
2012-01-03,TX,TX_2,4
2012-01-03,TX,TX_3,1
2012-01-03,WI,WI_1,12
2012-01-03,WI,WI_2,3
2012-01-03,WI,WI_3,13
2012-01-04,CA,CA_1,2
2012-01-04,CA,CA_2,3
2012-01-04,CA,CA_3,6
2012-01-04,CA,CA_4,2
2012-01-04,TX,TX_1,2
2012-01-04,TX,TX_2,4
2012-01-04,TX,TX_3,0
2012-01-04,WI,WI_1,5
2012-01-04,WI,WI_2,2
2012-01-04,WI,WI_3,5
2012-01-05,CA,CA_1,5
2012-01-05,CA,CA_2,2
2012-01-05,CA,CA_3,11
2012-01-05,CA,CA_4,1
2012-01-05,TX,TX_1,5
2012-01-05,TX,TX_2,8
2012-01-05,TX,TX_3,1
2012-01-05,WI,WI_1,11
2012-01-05,WI,WI_2,2
2012-01-05,WI,WI_3,10
2012-01-06,CA,CA_1,1
2012-01-06,CA,CA_2,1
2012-01-06,CA,CA_3,6
2012-01-06,CA,CA_4,0
2012-01-06,TX,TX_1,0
2012-01-06,TX,TX_2,10
2012-01-06,TX,TX_3,2
2012-01-06,WI,WI_1,2
2012-01-06,WI,WI_2,1
2012-01-06,WI,WI_3,4
2012-01-07,CA,CA_1,12
2012-01-07,CA,CA_2,3
2012-01-07,CA,CA_3,22
2012-01-07,CA,CA_4,3
2012-01-07,TX,TX_1,0
2012-01-07,TX,TX_2,8
2012-01-07,TX,TX_3,1
2012-01-07,WI,WI_1,7
2012-01-07,WI,WI_2,1
2012-01-07,WI,WI_3,8
2012-01-08,CA,CA_1,9
2012-01-08,CA,CA_2,12
2012-01-08,CA,CA_3,17
2012-01-08,CA,CA_4,2
2012-01-08,TX,TX_1,1
2012-01-08,TX,TX_2,3
2012-01-08,TX,TX_3,2
2012-01-08,WI,WI_1,1
2012-01-08,WI,WI_2,2
2012-01-08,WI,WI_3,11
2012-01-09,CA,CA_1,3
2012-01-09,CA,CA_2,9
2012-01-09,CA,CA_3,14
2012-01-09,CA,CA_4,3
2012-01-09,TX,TX_1,2
2012-01-09,TX,TX_2,3
2012-01-09,TX,TX_3,3
2012-01-09,WI,WI_1,3
2012-01-09,WI,WI_2,4
2012-01-09,WI,WI_3,12
2012-01-10,CA,CA_1,8
2012-01-10,CA,CA_2,5
2012-01-10,CA,CA_3,9
2012-01-10,CA,CA_4,4
2012-01-10,TX,TX_1,1
2012-01-10,TX,TX_2,7
2012-01-10,TX,TX_3,0
2012-01-10,WI,WI_1,6
2012-01-10,WI,WI_2,2
2012-01-10,WI,WI_3,9
2012-01-11,CA,CA_1,9
2012-01-11,CA,CA_2,5
2012-01-11,CA,CA_3,11
2012-01-11,CA,CA_4,3
2012-01-11,TX,TX_1,3
2012-01-11,TX,TX_2,7
2012-01-11,TX,TX_3,1
2012-01-11,WI,WI_1,14
2012-01-11,WI,WI_2,5
2012-01-11,WI,WI_3,9
2012-01-12,CA,CA_1,8
2012-01-12,CA,CA_2,0
2012-01-12,CA,CA_3,5
2012-01-12,CA,CA_4,1
2012-01-12,TX,TX_1,2
2012-01-12,TX,TX_2,4
2012-01-12,TX,TX_3,2
2012-01-12,WI,WI_1,2
2012-01-12,WI,WI_2,5
2012-01-12,WI,WI_3,6
2012-01-13,CA,CA_1,4
2012-01-13,CA,CA_2,4
2012-01-13,CA,CA_3,2
2012-01-13,CA,CA_4,0
2012-01-13,TX,TX_1,1
2012-01-13,TX,TX_2,5
2012-01-13,TX,TX_3,2
2012-01-13,WI,WI_1,1
2012-01-13,WI,WI_2,2
2012-01-13,WI,WI_3,7
2012-01-14,CA,CA_1,9
2012-01-14,CA,CA_2,5
2012-01-14,CA,CA_3,12
2012-01-14,CA,CA_4,2
2012-01-14,TX,TX_1,2
2012-01-14,TX,TX_2,2
2012-01-14,TX,TX_3,2
2012-01-14,WI,WI_1,6
2012-01-14,WI,WI_2,0
2012-01-14,WI,WI_3,9
2012-01-15,CA,CA_1,7
2012-01-15,CA,CA_2,2
2012-01-15,CA,CA_3,15
2012-01-15,CA,CA_4,4
2012-01-15,TX,TX_1,0
2012-01-15,TX,TX_2,3
2012-01-15,TX,TX_3,3
2012-01-15,WI,WI_1,2
2012-01-15,WI,WI_2,2
2012-01-15,WI,WI_3,5
2012-01-16,CA,CA_1,7
2012-01-16,CA,CA_2,8
2012-01-16,CA,CA_3,2
2012-01-16,CA,CA_4,2
2012-01-16,TX,TX_1,0
2012-01-16,TX,TX_2,7
2012-01-16,TX,TX_3,2
2012-01-16,WI,WI_1,4
2012-01-16,WI,WI_2,2
2012-01-16,WI,WI_3,15
2012-01-17,CA,CA_1,7
2012-01-17,CA,CA_2,2
2012-01-17,CA,CA_3,6
2012-01-17,CA,CA_4,3
2012-01-17,TX,TX_1,0
2012-01-17,TX,TX_2,6
2012-01-17,TX,TX_3,0
2012-01-17,WI,WI_1,0
2012-01-17,WI,WI_2,6
2012-01-17,WI,WI_3,5
2012-01-18,CA,CA_1,1
2012-01-18,CA,CA_2,5
2012-01-18,CA,CA_3,7
2012-01-18,CA,CA_4,0
2012-01-18,TX,TX_1,0
2012-01-18,TX,TX_2,0
2012-01-18,TX,TX_3,0
2012-01-18,WI,WI_1,4
2012-01-18,WI,WI_2,1
2012-01-18,WI,WI_3,7
2012-01-19,CA,CA_1,7
2012-01-19,CA,CA_2,2
2012-01-19,CA,CA_3,4
2012-01-19,CA,CA_4,4
2012-01-19,TX,TX_1,0
2012-01-19,TX,TX_2,2
2012-01-19,TX,TX_3,4
2012-01-19,WI,WI_1,3
2012-01-19,WI,WI_2,1
2012-01-19,WI,WI_3,2
2012-01-20,CA,CA_1,1
2012-01-20,CA,CA_2,2
2012-01-20,CA,CA_3,4
2012-01-20,CA,CA_4,4
2012-01-20,TX,TX_1,1
2012-01-20,TX,TX_2,4
2012-01-20,TX,TX_3,1
2012-01-20,WI,WI_1,1
2012-01-20,WI,WI_2,1
2012-01-20,WI,WI_3,10
2012-01-21,CA,CA_1,6
2012-01-21,CA,CA_2,2
2012-01-21,CA,CA_3,11
2012-01-21,CA,CA_4,7
2012-01-21,TX,TX_1,3
2012-01-21,TX,TX_2,1
2012-01-21,TX,TX_3,1
2012-01-21,WI,WI_1,7
2012-01-21,WI,WI_2,6
2012-01-21,WI,WI_3,9
2012-01-22,CA,CA_1,4
2012-01-22,CA,CA_2,1
2012-01-22,CA,CA_3,6
2012-01-22,CA,CA_4,1
2012-01-22,TX,TX_1,3
2012-01-22,TX,TX_2,3
2012-01-22,TX,TX_3,3
2012-01-22,WI,WI_1,4
2012-01-22,WI,WI_2,1
2012-01-22,WI,WI_3,9
2012-01-23,CA,CA_1,3
2012-01-23,CA,CA_2,2
2012-01-23,CA,CA_3,4
2012-01-23,CA,CA_4,3
2012-01-23,TX,TX_1,0
2012-01-23,TX,TX_2,5
2012-01-23,TX,TX_3,1
2012-01-23,WI,WI_1,1
2012-01-23,WI,WI_2,0
2012-01-23,WI,WI_3,1
2012-01-24,CA,CA_1,4
2012-01-24,CA,CA_2,3
2012-01-24,CA,CA_3,17
2012-01-24,CA,CA_4,2
2012-01-24,TX,TX_1,1
2012-01-24,TX,TX_2,4
2012-01-24,TX,TX_3,1
2012-01-24,WI,WI_1,3
2012-01-24,WI,WI_2,0
2012-01-24,WI,WI_3,11
2012-01-25,CA,CA_1,2
2012-01-25,CA,CA_2,1
2012-01-25,CA,CA_3,8
2012-01-25,CA,CA_4,0
2012-01-25,TX,TX_1,0
2012-01-25,TX,TX_2,6
2012-01-25,TX,TX_3,0
2012-01-25,WI,WI_1,5
2012-01-25,WI,WI_2,2
2012-01-25,WI,WI_3,4
2012-01-26,CA,CA_1,4
2012-01-26,CA,CA_2,3
2012-01-26,CA,CA_3,5
2012-01-26,CA,CA_4,3
2012-01-26,TX,TX_1,0
2012-01-26,TX,TX_2,3
2012-01-26,TX,TX_3,5
2012-01-26,WI,WI_1,1
2012-01-26,WI,WI_2,2
2012-01-26,WI,WI_3,1
2012-01-27,CA,CA_1,11
2012-01-27,CA,CA_2,2
2012-01-27,CA,CA_3,8
2012-01-27,CA,CA_4,4
2012-01-27,TX,TX_1,1
2012-01-27,TX,TX_2,1
2012-01-27,TX,TX_3,3
2012-01-27,WI,WI_1,0
2012-01-27,WI,WI_2,1
2012-01-27,WI,WI_3,5
2012-01-28,CA,CA_1,4
2012-01-28,CA,CA_2,3
2012-01-28,CA,CA_3,3
2012-01-28,CA,CA_4,2
2012-01-28,TX,TX_1,1
2012-01-28,TX,TX_2,4
2012-01-28,TX,TX_3,0
2012-01-28,WI,WI_1,5
2012-01-28,WI,WI_2,2
2012-01-28,WI,WI_3,5
2012-01-29,CA,CA_1,5
2012-01-29,CA,CA_2,2
2012-01-29,CA,CA_3,11
2012-01-29,CA,CA_4,1
2012-01-29,TX,TX_1,0
2012-01-29,TX,TX_2,2
2012-01-29,TX,TX_3,5
2012-01-29,WI,WI_1,7
2012-01-29,WI,WI_2,4
2012-01-29,WI,WI_3,5
2012-01-30,CA,CA_1,3
2012-01-30,CA,CA_2,2
2012-01-30,CA,CA_3,8
2012-01-30,CA,CA_4,6
2012-01-30,TX,TX_1,2
2012-01-30,TX,TX_2,2
2012-01-30,TX,TX_3,6
2012-01-30,WI,WI_1,12
2012-01-30,WI,WI_2,2
2012-01-30,WI,WI_3,2
2012-01-31,CA,CA_1,3
2012-01-31,CA,CA_2,2
2012-01-31,CA,CA_3,9
2012-01-31,CA,CA_4,0
2012-01-31,TX,TX_1,0
2012-01-31,TX,TX_2,0
2012-01-31,TX,TX_3,4
2012-01-31,WI,WI_1,5
2012-01-31,WI,WI_2,2
2012-01-31,WI,WI_3,1
2012-02-01,CA,CA_1,12
2012-02-01,CA,CA_2,1
2012-02-01,CA,CA_3,12
2012-02-01,CA,CA_4,2
2012-02-01,TX,TX_1,0
2012-02-01,TX,TX_2,2
2012-02-01,TX,TX_3,3
